"","Threshold","Ensembling","number_SVM","number_RDA","number_RF","mean_Accuracy","sd_Accuracy","mean_Sensitivity","sd_Sensitivity","mean_Specificity","sd_Specificity"
"1483",0.6,"Rank averaging",7,2,2,91.0784582488075,2.68436172648482,44.2857142857143,22.2233559801486,92.0936073059361,3.43221236712922
"349",0.6,"Rank averaging",5,0,2,90.9046548604638,1.51121346184832,44.2857142857143,22.2233559801486,91.9132420091324,2.23432827662599
"1503",0.55,"Rank averaging",0,3,0,90.8914962443116,0.362101942885161,44.2857142857143,22.2233559801486,91.8949771689498,0.322879808760975
"1420",0.6,"Rank averaging",6,2,2,90.7472997423104,2.67970945312869,44.2857142857143,22.2233559801486,91.7557077625571,3.425754770954
"1315",0.6,"Rank averaging",5,2,0,90.5800756620429,2.44321889085894,44.2857142857143,22.2233559801486,91.5844748858447,3.18359491438328
"286",0.6,"Rank averaging",4,0,2,90.5734963539668,1.5065611884922,44.2857142857143,22.2233559801486,91.5753424657534,2.22787068045076
"1672",0.6,"Rank averaging",2,3,2,90.5570480837765,0.835083067424659,44.2857142857143,22.2233559801486,91.5525114155251,0.161439904380492
"1735",0.6,"Rank averaging",3,3,2,90.5537584297385,1.30341191860803,44.2857142857143,22.2233559801486,91.5479452054795,0.639302021346744
"1042",0.6,"Rank averaging",0,2,2,90.2522068095839,2.90689546868618,44.2857142857143,22.2233559801486,91.2511415525114,3.6549994351743
"1882",0.6,"Rank averaging",6,3,0,90.0685344591261,0.328760650499577,44.2857142857143,22.2233559801486,91.0570776255708,1.02352899377232
"1819",0.6,"Rank averaging",5,3,0,90.0619551510499,0.607897051867159,44.2857142857143,22.2233559801486,91.0479452054795,0.067804759839804
"1924",0.6,"Rank averaging",6,3,2,89.9078896869346,1.02892779059657,44.2857142857143,22.2233559801486,90.8949771689498,1.73709337113407
"1168",0.6,"Rank averaging",2,2,2,89.7538242228192,2.66575263306031,44.2857142857143,22.2233559801486,90.7420091324201,3.40638198242835
"1357",0.6,"Rank averaging",5,2,2,89.7505345687812,2.19742378187693,44.2857142857143,22.2233559801486,90.7374429223744,2.92851986546209
"1756",0.6,"Rank averaging",4,3,0,89.7275069905148,1.08087817640665,44.2857142857143,22.2233559801486,90.7054794520548,0.416514953301663
"1252",0.6,"Rank averaging",4,2,0,89.5800208344756,1.49260436842382,44.2857142857143,22.2233559801486,90.5616438356164,2.2084978919251
"1861",0.6,"Rank averaging",5,3,2,89.5668622183234,0.380711036309669,44.2857142857143,22.2233559801486,90.5433789954338,0.29704942406011
"1798",0.6,"Rank averaging",4,3,2,89.2357037118263,0.385363309665784,44.2857142857143,22.2233559801486,90.2054794520548,0.290591827884884
"1231",0.6,"Rank averaging",3,2,2,89.0816382477109,1.25146153279794,44.2857142857143,22.2233559801486,90.0525114155251,1.95988043917915
"1125",0.55,"Rank averaging",2,2,0,88.9209934755195,1.95162867289494,44.2857142857143,22.2233559801486,89.8904109589041,2.67344481654092
"1294",0.6,"Rank averaging",4,2,2,88.7471900871758,0.778480408258442,44.2857142857143,22.2233559801486,89.7100456621005,1.47556072603768
"1041",0.55,"Rank averaging",0,2,2,88.5832556609463,1.01031869717207,44.2857142857143,22.2233559801486,89.5433789954338,1.71126298643321
"116",0.5,"Rank averaging",2,0,0,88.4160315806788,0.773828134902327,44.2857142857143,22.2233559801486,89.3721461187215,1.46910312986247
"1629",0.55,"Rank averaging",2,3,0,88.3962936564505,2.0361449721979,44.2857142857143,22.2233559801486,89.3447488584475,1.39806957193504
"369",0.55,"Rank averaging",6,0,0,88.2718350786776,3.81563953091617,44.2857142857143,22.2233559801486,89.2328767123288,4.57197809205549
"222",0.55,"Rank averaging",3,0,2,87.9242283019902,1.46934300164319,44.2857142857143,22.2233559801486,88.8721461187215,2.17620991104901
"998",0.5,"Rank averaging",0,2,0,87.7602938757607,1.70118129055681,44.2857142857143,22.2233559801486,88.7054794520548,2.41191217144453
"1377",0.55,"Rank averaging",6,2,0,87.6128077197215,4.27466383538728,44.2857142857143,22.2233559801486,88.5616438356164,5.03692501667129
"411",0.55,"Rank averaging",6,0,2,87.6095180656834,3.80633498420391,44.2857142857143,22.2233559801486,88.5570776255708,4.55906289970505
"306",0.55,"Rank averaging",5,0,0,87.4291353692637,1.69652901720069,44.2857142857143,22.2233559801486,88.3675799086758,2.4054545752693
"1314",0.55,"Rank averaging",5,2,0,87.0979768627666,1.69187674384457,44.2857142857143,22.2233559801486,88.0296803652968,2.39899697909408
"1419",0.55,"Rank averaging",6,2,2,86.7799769724217,3.56053987522191,44.2857142857143,22.2233559801486,87.7100456621005,4.30398785078387
"243",0.55,"Rank averaging",4,0,0,86.7569493941554,0.282237916938322,44.2857142857143,22.2233559801486,87.6780821917808,0.958953032020115
"179",0.5,"Rank averaging",3,0,0,86.2585668073908,0.0410950813124484,44.2857142857143,22.2233559801486,87.1689497716895,0.71033557927415
"1505",0.65,"Rank averaging",0,3,0,96.0326772301113,0.880830422093222,34.2857142857143,8.08122035641768,97.310502283105,1.381925581497
"245",0.65,"Rank averaging",4,0,0,96.0293875760732,0.412501570909859,34.2857142857143,8.08122035641768,97.3059360730594,0.904063464530743
"1043",0.65,"Rank averaging",0,2,2,95.8687428038818,1.11266871100685,34.2857142857143,8.08122035641768,97.1438356164384,1.61762784189252
"308",0.65,"Rank averaging",5,0,0,95.8654531498437,0.644339859823483,34.2857142857143,8.08122035641768,97.1392694063927,1.13976572492627
"181",0.6,"Rank averaging",3,0,0,95.8588738417676,0.292317842543263,34.2857142857143,8.08122035641768,97.1301369863014,0.184041490993764
"1190",0.65,"Rank averaging",3,2,0,95.5310049893086,0.171358735283985,34.2857142857143,8.08122035641768,96.796803652968,0.655446011784799
"117",0.55,"Rank averaging",2,0,0,95.5277153352706,0.296970115899388,34.2857142857143,8.08122035641768,96.7922374429224,0.177583894818538
"577",0.45,"Rank averaging",1,1,1,93.2063161357531,0.797864880575643,34.2857142857143,8.08122035641768,94.4223744292237,0.345481395374256
"161",0.65,"Rank averaging",2,0,2,96.8589286693349,0.658296679891857,27.1428571428571,18.1827458019398,98.324200913242,1.40129837002266
"8",0.35,"Rank averaging",0,0,1,96.6917045890674,0.421806117622108,20,28.2842712474619,98.324200913242,1.40129837002266
