"","Threshold","Ensembling","number_SVM","number_RDA","number_RF","mean_Accuracy","sd_Accuracy","mean_Sensitivity","sd_Sensitivity","mean_Specificity","sd_Specificity"
"1166",0.5,"Rank averaging",2,2,2,88.7767969735183,4.99344006890878,71.4285714285714,40.4061017820884,89.1962397719959,6.07674968938241
"1542",0.4,"Rank averaging",0,3,2,78.2224902681068,10.9328423868966,78.5714285714286,30.3045763365663,78.2212466672796,11.9113395221941
"1879",0.45,"Rank averaging",6,3,0,78.2060419979165,8.59119813097971,78.5714285714286,30.3045763365663,78.2040084582146,9.51411946553749
"1437",0.4,"Rank averaging",7,2,0,78.1961730358024,7.1862115774296,78.5714285714286,30.3045763365663,78.1936655327756,8.07578743154352
"1671",0.55,"Rank averaging",2,3,2,88.4489281210593,5.45711664673603,71.4285714285714,40.4061017820884,88.8606693021973,6.55131799890359
"1668",0.4,"Rank averaging",2,3,2,78.0684248039914,12.5696672293603,78.5714285714286,30.3045763365663,78.0638043578193,13.5869557109486
"2193",0.4,"Rank averaging",3,4,0,78.0651351499534,12.1013383781769,78.5714285714286,30.3045763365663,78.0603567160063,13.1075116996173
"998",0.5,"Rank averaging",0,2,0,78.0355282636109,7.88637871752659,78.5714285714286,30.3045763365663,78.0293279396892,8.79251559763543
"577",0.45,"Rank averaging",1,1,1,77.9993420691924,2.73476135450951,78.5714285714286,30.3045763365663,77.9914038797463,3.51863147299089
"1691",0.5,"Rank averaging",3,3,0,77.8979110696858,11.8648478159072,78.5714285714286,30.3045763365663,77.8891238392939,12.8653518430466
"73",0.45,"Rank averaging",1,0,1,77.8288283348868,2.0299419410564,78.5714285714286,30.3045763365663,77.8167233612209,2.79702760508883
"1127",0.65,"Rank averaging",2,2,0,88.1177696145622,5.4524643733799,71.4285714285714,40.4061017820884,88.5216511905856,6.54644229709344
"555",0.4,"Rank averaging",1,1,0,77.6912111409617,6.00841103943699,78.5714285714286,30.3045763365663,77.6765192608256,6.86986385049999
"1503",0.55,"Rank averaging",0,3,0,77.5634629091507,11.3918666913677,78.5714285714286,30.3045763365663,77.5466580858693,12.3810321299051
"1816",0.45,"Rank averaging",5,3,0,77.5568836010746,10.4552089890009,78.5714285714286,30.3045763365663,77.5397628022433,11.4221441072425
"1165",0.45,"Rank averaging",2,2,2,87.6226766818356,5.67965038893739,71.4285714285714,40.4061017820884,88.0148478440747,6.77885075004388
"1123",0.45,"Rank averaging",2,2,0,77.2257250945776,10.4505567156448,78.5714285714286,30.3045763365663,77.2007446906316,11.4172684054323
"1374",0.4,"Rank averaging",6,2,0,77.2059871703492,7.64058360854459,78.5714285714286,30.3045763365663,77.1800588397536,8.54060433744439
